dataset,positive_prevalence,threshold_probability,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none,role
natural_prevalence_2015,0.13933301797540207,0.01,0.13065426418075424,0.13063941209636573,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.02,0.12183395117744354,0.12176838568918578,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.03,0.11291528900766289,0.11271445152103306,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.04,0.10386494139598443,0.10347189372437715,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.05,0.09520655944497003,0.09403475576358111,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.060000000000000005,0.08768879539980004,0.08439682763340645,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.06999999999999999,0.08007196434081715,0.07455163223161514,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.08,0.07174135850712299,0.06449241084282833,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.09,0.06445846805354846,0.05421210766527701,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.09999999999999999,0.05656119695854796,0.04370335330600231,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.11,0.04878232861713777,0.03295844716337311,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.12,0.04083795619391646,0.02196933860841145,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.13,0.03245209821768397,0.010727606868278228,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.14,0.024431714007025873,-0.000775560493718519,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.15000000000000002,0.017615059268740588,-0.012549390617174055,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.16,0.009954047844303288,-0.024603550029283272,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.17,0.002217336707283246,-0.036948171113973444,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.18000000000000002,-0.005920749013545029,-0.04959388051780236,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.19,-0.013344312461310237,-0.06255182965999742,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.2,-0.018500670135603914,-0.07583372753074741,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.21000000000000002,-0.020488834732484668,-0.08945187598050372,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.22,-0.0280923270989496,-0.1034192077238435,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.23,-0.03551467847825465,-0.11774932730467261,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.24000000000000002,-0.043068557154475606,-0.1324565552955236,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.25,-0.050872490276463816,-0.14755597603279721,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.26,-0.05825886198402758,-0.16306348922242966,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.27,-0.0666060250644756,-0.17899586578712048,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.28,-0.0747641385472512,-0.19537080836749718,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.29000000000000004,-0.08162529259441864,-0.21220701693605346,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.3,-0.0866524755597603,-0.2295242600351399,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.31,-0.09334194854638278,-0.24734345220956225,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.32,-0.0993280093494352,-0.2656867382714676,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.33,-0.10692381281859392,-0.28457758511134024,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.34,-0.11421798400275227,-0.30404088185545153,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.35000000000000003,-0.12171209033791822,-0.3241030492686122,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.36000000000000004,-0.1287268901766005,-0.34479215941343433,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.37,-0.12283842160852569,-0.3661380667057109,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.38,-0.1270995462914925,-0.38817255165257725,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.39,-0.13340461198049952,-0.410929478728849,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.4,-0.14008199306212554,-0.4344449700409966,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.41000000000000003,-0.14745234888208286,-0.458757596651861,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.42000000000000004,-0.15337759218782282,-0.48390858969758277,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.43,-0.16046884595594946,-0.5099420737273647,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.44,-0.16393853899175562,-0.5369053250439249,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.45,-0.16941386428141395,-0.5648490582265415,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.46,-0.17414517560764803,-0.5938277444899961,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.47000000000000003,-0.18011155043049332,-0.623899966084147,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.48000000000000004,-0.18769497610557212,-0.6551288115857652,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.49,-0.1891188373804268,-0.68758231769529,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.5,-0.19370072532324184,-0.7213339640491958,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.51,-0.19598940332992235,-0.7564632286216284,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.52,-0.19750670135603915,-0.7930562125512457,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.53,-0.19935435495883574,-0.8312063447331872,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.54,-0.1936215430600689,-0.8710151783143435,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.55,-0.19577858369249102,-0.9125932933879956,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.56,-0.19799747713655008,-0.9560613227831772,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.5700000000000001,-0.19950001100085812,-1.0015511209874373,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.5800000000000001,-0.20327484194560835,-1.049207100058567,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.59,-0.20703046280699322,-1.0991877610356047,0.0,PRIMARY: natural-prevalence validation (~14%)
natural_prevalence_2015,0.13933301797540207,0.6,-0.2097721538946704,-1.1516674550614947,0.0,PRIMARY: natural-prevalence validation (~14%)
