threshold,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,brier_score,ece_10bin,true_negative,false_positive,false_negative,true_positive,false_positive_rate,false_negative_rate,predicted_positive_rate,n,positive_prevalence,calibration_intercept,calibration_slope,seed,dataset,threshold_strategy,seed_selected_threshold
0.5,0.7107999151283684,0.710797037406386,0.6949640287769784,0.7514851485148515,0.6701089262979205,0.7221202854230377,0.7790740014122263,0.19052602128738438,0.00906445833170851,4737,2332,1757,5313,0.3298910737020795,0.2485148514851485,0.5407030200155598,14139,0.5000353631798571,-0.009274883470908069,0.9918185783787936,11,internal_test,default_0_50,0.5
0.49,0.7107291887686541,0.7107251755428357,0.6892784552845529,0.7674681753889675,0.6539821756967039,0.7262749297282827,0.7790740014122263,0.19052602128738438,0.00906445833170851,4623,2446,1644,5426,0.3460178243032961,0.23253182461103253,0.5567579036706981,14139,0.5000353631798571,-0.009274883470908069,0.9918185783787936,11,internal_test,youden_j,0.49
0.31,0.6710517009689512,0.6710339164385488,0.613835294117647,0.9224893917963225,0.4195784410807752,0.7371573890929641,0.7790740014122263,0.19052602128738438,0.00906445833170851,2966,4103,548,6522,0.5804215589192248,0.07751060820367751,0.751467571964071,14139,0.5000353631798571,-0.009274883470908069,0.9918185783787936,11,internal_test,recall_at_least_80,0.31
0.5,0.6815003153579312,0.7088124081817668,0.26866188222120424,0.7466757200248967,0.6709490963386371,0.39514601627476964,0.7795819340061119,0.1982410195534642,0.27627678975189635,146491,71843,8954,26392,0.32905090366136286,0.25332427997510326,0.3872398297067171,253680,0.13933301797540207,-1.8270118439514227,0.9894914558754957,11,natural_prevalence_2015,default_0_50,0.5
0.49,0.6684996846420688,0.7083258180107092,0.2627208566561207,0.7635375997283993,0.653114036293019,0.3909293044882705,0.7795819340061119,0.1982410195534642,0.27627678975189635,142597,75737,8358,26988,0.34688596370698105,0.23646240027160076,0.404939293598234,253680,0.13933301797540207,-1.8270118439514227,0.9894914558754957,11,natural_prevalence_2015,youden_j,0.49
0.31,0.4889861242510249,0.6709880691126896,0.20453377455220045,0.9233010807446387,0.4186750574807405,0.33488281410335347,0.7795819340061119,0.1982410195534642,0.27627678975189635,91411,126923,2711,32635,0.5813249425192595,0.07669891925536129,0.6289735099337749,253680,0.13933301797540207,-1.8270118439514227,0.9894914558754957,11,natural_prevalence_2015,recall_at_least_80,0.31
0.5,0.7099511988117971,0.7099548039600758,0.6905006418485238,0.7609279954731928,0.658981612446959,0.7240056531395114,0.7808667163020082,0.18992930787225298,0.009114451311774744,4659,2411,1690,5379,0.34101838755304104,0.23907200452680719,0.5509583421741283,14139,0.49996463682014286,0.003141472321042601,1.005173411512302,42,internal_test,default_0_50,0.5
0.53,0.7070514180635122,0.7070522669751768,0.7021688078463876,0.7190550289998585,0.695049504950495,0.7105116019010344,0.7808667163020082,0.18992930787225298,0.009114451311774744,4914,2156,1986,5083,0.30495049504950494,0.2809449710001415,0.511988117971568,14139,0.49996463682014286,0.003141472321042601,1.005173411512302,42,internal_test,youden_j,0.53
0.35000000000000003,0.6834288139189476,0.6834438389982118,0.6287104139779609,0.8958834347149526,0.471004243281471,0.7388869443472174,0.7808667163020082,0.18992930787225298,0.009114451311774744,3330,3740,736,6333,0.5289957567185289,0.1041165652850474,0.7124266214017965,14139,0.49996463682014286,0.003141472321042601,1.005173411512302,42,internal_test,recall_at_least_80,0.35000000000000003
0.5,0.666966256701356,0.7082411756327659,0.262043583535109,0.7654614383522887,0.651020912913243,0.3904297382319836,0.779539461532358,0.1977987591595965,0.275944891882272,142140,76194,8290,27056,0.348979087086757,0.2345385616477112,0.40700883002207505,253680,0.13933301797540207,-1.8229789589719332,0.9861212314136544,42,natural_prevalence_2015,default_0_50,0.5
0.53,0.6953169347209083,0.7077575562153868,0.27496298203824115,0.7250042437616704,0.6905108686691033,0.3987117251680358,0.779539461532358,0.1977987591595965,0.275944891882272,150762,67572,9720,25626,0.30948913133089667,0.27499575623832967,0.3673841059602649,253680,0.13933301797540207,-1.8229789589719332,0.9861212314136544,42,natural_prevalence_2015,youden_j,0.53
0.35000000000000003,0.527227215389467,0.6831503109603176,0.21454363833937407,0.8993096814349573,0.4669909404856779,0.34643910041578796,0.779539461532358,0.1977987591595965,0.275944891882272,101960,116374,3559,31787,0.5330090595143221,0.10069031856504272,0.584046830652791,253680,0.13933301797540207,-1.8229789589719332,0.9861212314136544,42,natural_prevalence_2015,recall_at_least_80,0.35000000000000003
0.5,0.710446283329797,0.7104424001602311,0.6896507774662248,0.7653465346534654,0.6555382656669968,0.7255296326092786,0.7796955370011064,0.1906290869231145,0.005150376012329736,4634,2435,1659,5411,0.34446173433300326,0.23465346534653464,0.5549190183181272,14139,0.5000353631798571,0.007411950016015694,0.9791812984432525,77,internal_test,default_0_50,0.5
0.5,0.710446283329797,0.7104424001602311,0.6896507774662248,0.7653465346534654,0.6555382656669968,0.7255296326092786,0.7796955370011064,0.1906290869231145,0.005150376012329736,4634,2435,1659,5411,0.34446173433300326,0.23465346534653464,0.5549190183181272,14139,0.5000353631798571,0.007411950016015694,0.9791812984432525,77,internal_test,youden_j,0.5
0.38,0.6977862649409435,0.6977741330505947,0.647288046340179,0.8693069306930693,0.52624133540812,0.7420464835496529,0.7796955370011064,0.1906290869231145,0.005150376012329736,3720,3349,924,6146,0.47375866459188004,0.1306930693069307,0.671546785486951,14139,0.5000353631798571,0.007411950016015694,0.9791812984432525,77,internal_test,recall_at_least_80,0.38
0.5,0.6647902869757174,0.7084116095050975,0.26120679712429357,0.7688847394330335,0.6479384795771616,0.38994188966209914,0.7796479331748264,0.1979214335973189,0.27546978900535685,141467,76867,8169,27177,0.3520615204228384,0.23111526056696655,0.41013875748975087,253680,0.13933301797540207,-1.8234356185724168,0.9902349730540982,77,natural_prevalence_2015,default_0_50,0.5
0.5,0.6647902869757174,0.7084116095050975,0.26120679712429357,0.7688847394330335,0.6479384795771616,0.38994188966209914,0.7796479331748264,0.1979214335973189,0.27546978900535685,141467,76867,8169,27177,0.3520615204228384,0.23111526056696655,0.41013875748975087,253680,0.13933301797540207,-1.8234356185724168,0.9902349730540982,77,natural_prevalence_2015,youden_j,0.5
0.38,0.5662567013560391,0.6941700332862959,0.226011416496691,0.8714988966219657,0.5168411699506261,0.35893731065019807,0.7796479331748264,0.1979214335973189,0.27546978900535685,112844,105490,4542,30804,0.4831588300493739,0.12850110337803428,0.5372674235257017,253680,0.13933301797540207,-1.8234356185724168,0.9902349730540982,77,natural_prevalence_2015,recall_at_least_80,0.38
0.5,0.7057076172289413,0.7057050996411809,0.6920639112637,0.7413012729844413,0.6701089262979205,0.7158369186642082,0.7811417882689186,0.18956707748807525,0.01163247121317905,4737,2332,1829,5241,0.3298910737020795,0.2586987270155587,0.5356107221161327,14139,0.5000353631798571,0.011272977711670188,1.0174190220304846,101,internal_test,default_0_50,0.5
0.47000000000000003,0.7095268406535116,0.709521531847221,0.6822039109580618,0.7845827439886846,0.6344603197057576,0.7298204065522005,0.7811417882689186,0.18956707748807525,0.01163247121317905,4485,2584,1523,5547,0.36553968029424244,0.21541725601131542,0.5750760308366928,14139,0.5000353631798571,0.011272977711670188,1.0174190220304846,101,internal_test,youden_j,0.47000000000000003
0.37,0.6967960959049437,0.6967831336414566,0.6440327088293137,0.88005657708628,0.5135096901966332,0.7437690514613592,0.7811417882689186,0.18956707748807525,0.01163247121317905,3630,3439,848,6222,0.4864903098033668,0.11994342291371994,0.683287361199519,14139,0.5000353631798571,0.011272977711670188,1.0174190220304846,101,internal_test,recall_at_least_80,0.37
0.5,0.677160201829076,0.7082116819031654,0.2664459161147903,0.7512589826288689,0.665164381177462,0.3933751092544035,0.7795506606232346,0.19755028069737793,0.2757992418708139,145228,73106,8792,26554,0.33483561882253793,0.2487410173711311,0.39285714285714285,253680,0.13933301797540207,-1.8226798635335075,0.9897244210943347,101,natural_prevalence_2015,default_0_50,0.5
0.47000000000000003,0.6469804478082624,0.7074311604961034,0.2539176699170162,0.791235217563515,0.6236271034286919,0.3844578247003189,0.7795506606232346,0.19755028069737793,0.2757992418708139,136159,82175,7379,27967,0.3763728965713082,0.20876478243648502,0.43417691579943235,253680,0.13933301797540207,-1.8226798635335075,0.9897244210943347,101,natural_prevalence_2015,youden_j,0.47000000000000003
0.37,0.5576592557552822,0.6919615057279871,0.22339055021771204,0.8781474565721722,0.5057755548838019,0.35617444388981645,0.7795506606232346,0.19755028069737793,0.2757992418708139,110428,107906,4307,31039,0.4942244451161981,0.12185254342782775,0.5477175969725638,253680,0.13933301797540207,-1.8226798635335075,0.9897244210943347,101,natural_prevalence_2015,recall_at_least_80,0.37
0.5,0.7066270599052267,0.7066229566189648,0.685171102661597,0.7646393210749647,0.648606592162965,0.7227272727272728,0.7756603878159576,0.19223280827038938,0.009575699485311617,4585,2484,1664,5406,0.35139340783703493,0.23536067892503537,0.5580309781455548,14139,0.5000353631798571,-0.0116975269586419,0.9763302541645978,202,internal_test,default_0_50,0.5
0.47000000000000003,0.70485890091237,0.7048523215193617,0.6727489564698867,0.7978783592644979,0.6118262837742255,0.7299902944031058,0.7756603878159576,0.19223280827038938,0.009575699485311617,4325,2744,1429,5641,0.3881737162257745,0.20212164073550212,0.5930405262041163,14139,0.5000353631798571,-0.0116975269586419,0.9763302541645978,202,internal_test,youden_j,0.47000000000000003
0.41000000000000003,0.6933305042789447,0.6933198180073044,0.6484901151422985,0.8444130127298444,0.5422266232847645,0.7335954780044237,0.7756603878159576,0.19223280827038938,0.009575699485311617,3833,3236,1100,5970,0.45777337671523555,0.15558698727015557,0.6511068675295283,14139,0.5000353631798571,-0.0116975269586419,0.9763302541645978,202,internal_test,recall_at_least_80,0.41000000000000003
0.5,0.6682237464522233,0.7087938707099108,0.2627865618409928,0.7650370621852544,0.6525506792345672,0.39119836235144345,0.7797054450404866,0.19831838308136934,0.27611548474745484,142474,75860,8305,27041,0.3474493207654328,0.23496293781474567,0.4056330810469883,253680,0.13933301797540207,-1.8276415898910217,0.9873425189147823,202,natural_prevalence_2015,default_0_50,0.5
0.47000000000000003,0.6410517187007253,0.7072116745901822,0.2517069257509582,0.7989305720590731,0.6154927771212912,0.38280826374579763,0.7797054450404866,0.19831838308136934,0.27611548474745484,134383,83951,7107,28239,0.38450722287870875,0.20106942794092683,0.4422500788394828,253680,0.13933301797540207,-1.8276415898910217,0.9873425189147823,202,natural_prevalence_2015,youden_j,0.47000000000000003
0.41000000000000003,0.593834752444024,0.7003747536181217,0.23484433023612916,0.8480733322016636,0.55267617503458,0.3678307605467887,0.7797054450404866,0.19831838308136934,0.27611548474745484,120668,97666,5370,29976,0.44732382496541995,0.15192666779833644,0.503161463260801,253680,0.13933301797540207,-1.8276415898910217,0.9873425189147823,202,natural_prevalence_2015,recall_at_least_80,0.41000000000000003
