threshold,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,brier_score,ece_10bin,true_negative,false_positive,false_negative,true_positive,false_positive_rate,false_negative_rate,predicted_positive_rate,n,positive_prevalence,calibration_intercept,calibration_slope,subgroup_variable,subgroup,n_positive,n_total,reliability_note,dataset,threshold_strategy
0.5,0.9679675729966282,0.535680840992809,0.16819571865443425,0.08136094674556213,0.9900007352400558,0.10967098703888335,0.7122326978219927,0.036505925120958696,0.08693219492761209,26930,272,621,55,0.009999264759944122,0.9186390532544378,0.011729679317024178,27878,0.024248511370973527,-1.9876966204815771,0.8422136211475151,AgeGroup,18–34,676,27878,,external_temporal,default_0_50
0.5,0.8914171040444582,0.6291608538697059,0.2097661623108666,0.33351558228540185,0.92480612545401,0.25754697065653365,0.771203338109519,0.08850635114476621,0.1643345408990758,28263,2298,1219,610,0.07519387454598998,0.6664844177145981,0.08978079654214263,32390,0.05646804569311516,-1.784837523640212,0.9777985701072704,AgeGroup,35–44,1829,32390,,external_temporal,default_0_50
0.5,0.7444763645860538,0.6658282461721803,0.2454598145285935,0.5629153743907842,0.7687411179535765,0.3418538947934885,0.7395868959027833,0.16725513850373538,0.2417562554290309,25965,7811,1973,2541,0.2312588820464235,0.4370846256092158,0.2703577957691303,38290,0.11788978845651606,-1.6967298506112136,0.8717662935909557,AgeGroup,45–54,4514,38290,,external_temporal,default_0_50
0.5,0.6230145932435701,0.6662253112697701,0.2817327949438202,0.7330135891286971,0.5994370334108432,0.4070257759741289,0.7300759458869955,0.22439635659972174,0.2881426805071969,24490,16365,2338,6419,0.4005629665891568,0.266986410871303,0.45924373135531726,49612,0.17650971539143756,-1.62634583843852,0.8854364897641362,AgeGroup,55–64,8757,49612,,external_temporal,default_0_50
0.5,0.5101598062953995,0.6310553345264432,0.28271597416839284,0.8420431863545637,0.4200674826983228,0.4233067274800456,0.7106894268860635,0.27481849421241766,0.3414184698090138,17056,23547,1741,9281,0.5799325173016772,0.1579568136454364,0.6358934624697337,51625,0.21350121065375302,-1.7234525559514937,0.9431076885016948,AgeGroup,65–74,11022,51625,,external_temporal,default_0_50
0.5,0.4781681953236016,0.6128320814919382,0.2756857497849565,0.8521418020679469,0.37352236091592955,0.4165944540727903,0.6874943785884386,0.2806917974352416,0.34404786486429356,9037,15157,1001,5769,0.6264776390840704,0.14785819793205318,0.6758170778969126,30964,0.21864100245446325,-1.6735731735418273,0.9452667157221951,AgeGroup,75+,6770,30964,,external_temporal,default_0_50
0.35000000000000003,0.9417461797833417,0.5813879744310482,0.11211129296235679,0.20266272189349113,0.9601132269686052,0.14436248682824027,0.7122326978219927,0.036505925120958696,0.08693219492761209,26117,1085,539,137,0.03988677303139475,0.7973372781065089,0.0438338474782983,27878,0.024248511370973527,-1.9876966204815771,0.8422136211475151,AgeGroup,18–34,676,27878,,external_temporal,recall_at_least_80
0.35000000000000003,0.7982401975918494,0.6823322674086436,0.15005948839976205,0.551667577911427,0.8129969569058604,0.23594060563544955,0.771203338109519,0.08850635114476621,0.1643345408990758,24846,5715,820,1009,0.1870030430941396,0.448332422088573,0.20759493670886076,32390,0.05646804569311516,-1.784837523640212,0.9777985701072704,AgeGroup,35–44,1829,32390,,external_temporal,recall_at_least_80
0.35000000000000003,0.5885870984591277,0.6717024454893423,0.19267158873393492,0.78046078865751,0.5629441023211748,0.3090486424843195,0.7395868959027833,0.16725513850373538,0.2417562554290309,19014,14762,991,3523,0.4370558976788252,0.21953921134249002,0.4775398276312353,38290,0.11788978845651606,-1.6967298506112136,0.8717662935909557,AgeGroup,45–54,4514,38290,,external_temporal,recall_at_least_80
0.35000000000000003,0.46190437797307105,0.6312508913791393,0.23288364751779386,0.8929998858056412,0.36950189695263735,0.3694255479969766,0.7300759458869955,0.22439635659972174,0.2881426805071969,15096,25759,937,7820,0.6304981030473626,0.1070001141943588,0.6768322180117713,49612,0.17650971539143756,-1.62634583843852,0.8854364897641362,AgeGroup,55–64,8757,49612,,external_temporal,recall_at_least_80
0.35000000000000003,0.35384019370460046,0.5756672682090128,0.2436179981634527,0.9628016693884958,0.18853286702952984,0.3888461397530321,0.7106894268860635,0.27481849421241766,0.3414184698090138,7655,32948,410,10612,0.8114671329704701,0.037198330611504266,0.8437772397094431,51625,0.21350121065375302,-1.7234525559514937,0.9431076885016948,AgeGroup,65–74,11022,51625,,external_temporal,recall_at_least_80
0.35000000000000003,0.3171747836196874,0.5516703849691605,0.2385301073312716,0.9683899556868538,0.1349508142514673,0.38277623704568675,0.6874943785884386,0.2806917974352416,0.34404786486429356,3265,20929,214,6556,0.8650491857485327,0.031610044313146235,0.8876437152822633,30964,0.21864100245446325,-1.6735731735418273,0.9452667157221951,AgeGroup,75+,6770,30964,,external_temporal,recall_at_least_80
0.5,0.8829192601343607,0.5955129212004818,0.1943827035764801,0.2661134163208852,0.9249124260800784,0.22466137319009807,0.7619324757004806,0.09366044698818586,0.15943794012243884,49111,3987,2653,962,0.07508757391992166,0.7338865836791147,0.08726394301130252,56713,0.06374199918889849,-1.6370866965851651,0.9694101078269192,BMICategory,Normal weight,3615,56713,,external_temporal,default_0_50
0.5,0.551906779661017,0.6570410280787597,0.27267820396046283,0.8258071107478545,0.4882749454096649,0.40998199386269685,0.7178415157922533,0.24847819419859113,0.3123528889059742,20572,21560,1705,8083,0.5117250545903351,0.1741928892521455,0.5709360554699537,51920,0.18852080123266565,-1.6860887214602338,0.946333038878352,BMICategory,Obese I,9788,51920,,external_temporal,default_0_50
0.5,0.479325075902093,0.6188504990999286,0.33933689536817524,0.9312487861720723,0.306452212027785,0.49741953888845664,0.7168951750231208,0.31229143337191084,0.3593438569140751,8250,18671,708,9590,0.693547787972215,0.06875121382792776,0.759316478142884,37219,0.2766866385448293,-1.713729973152543,0.9090079531798242,BMICategory,Obese II/III,10298,37219,,external_temporal,default_0_50
0.5,0.6985083713850837,0.6641367979599071,0.22182409220198737,0.6191359934013816,0.7091376025184326,0.32662496600489527,0.7374479595467911,0.1728635880250428,0.24914022043597642,51360,21066,3694,6005,0.2908623974815674,0.3808640065986184,0.3296316590563166,82125,0.11810045662100456,-1.6830217521592763,0.9891654760673423,BMICategory,Overweight,9699,82125,,external_temporal,default_0_50
0.5,0.8925233644859814,0.5724145626115786,0.17412935323383086,0.20833333333333334,0.936495791889824,0.1897018970189702,0.732110977520312,0.09629042864045265,0.1734290556772763,2448,166,133,35,0.06350420811017597,0.7916666666666666,0.07225017972681524,2782,0.0603882099209202,-1.7599693580322424,0.9344173816917926,BMICategory,Underweight,168,2782,,external_temporal,default_0_50
0.35000000000000003,0.755576322888932,0.6851464452039854,0.1494834781418896,0.6044260027662517,0.7658668876417191,0.23968845985081175,0.7619324757004806,0.09366044698818586,0.15943794012243884,40666,12432,1430,2185,0.2341331123582809,0.39557399723374825,0.25773632147832065,56713,0.06374199918889849,-1.6370866965851651,0.9694101078269192,BMICategory,Normal weight,3615,56713,,external_temporal,recall_at_least_80
0.35000000000000003,0.4298151001540832,0.6230286575543942,0.2398382522844239,0.9331834899877401,0.3128738251210481,0.381600935828877,0.7178415157922533,0.24847819419859113,0.3123528889059742,13182,28950,654,9134,0.6871261748789519,0.06681651001225991,0.7335130970724191,51920,0.18852080123266565,-1.6860887214602338,0.946333038878352,BMICategory,Obese I,9788,51920,,external_temporal,recall_at_least_80
0.35000000000000003,0.3818479808699858,0.565708779669659,0.3064953256798319,0.9773742474266848,0.15404331191263326,0.466652757493567,0.7168951750231208,0.31229143337191084,0.3593438569140751,4147,22774,233,10065,0.8459566880873668,0.022625752573315207,0.8823181708267283,37219,0.2766866385448293,-1.713729973152543,0.9090079531798242,BMICategory,Obese II/III,10298,37219,,external_temporal,recall_at_least_80
0.35000000000000003,0.5380700152207002,0.6701953277968057,0.1833920121992241,0.8431797092483762,0.49721094634523516,0.3012598541221543,0.7374479595467911,0.1728635880250428,0.24914022043597642,36011,36415,1521,8178,0.5027890536547649,0.15682029075162388,0.5429893455098934,82125,0.11810045662100456,-1.6830217521592763,0.9891654760673423,BMICategory,Overweight,9699,82125,,external_temporal,recall_at_least_80
0.35000000000000003,0.7483824586628325,0.6628069552227931,0.13157894736842105,0.5654761904761905,0.7601377199693956,0.21348314606741572,0.732110977520312,0.09629042864045265,0.1734290556772763,1987,627,73,95,0.23986228003060445,0.43452380952380953,0.2595255212077642,2782,0.0603882099209202,-1.7599693580322424,0.9344173816917926,BMICategory,Underweight,168,2782,,external_temporal,recall_at_least_80
0.5,0.709532545803206,0.7084401070430917,0.27329252190613373,0.7069490157113582,0.7099311983748251,0.39419647494719345,0.7802522238101325,0.17971512598022746,0.24706818154495067,74087,30271,4719,11384,0.2900688016251749,0.29305098428864185,0.3457965648633168,120461,0.1336781198894248,-1.7132966046668594,0.9170439023534761,SexGroup,Female,16103,120461,,external_temporal,default_0_50
0.5,0.6432120256033654,0.6910292168487315,0.2742108520734475,0.7610077297452047,0.6210507039522584,0.4031546219761887,0.762562779965461,0.20536696929981674,0.27031337757492846,57654,35179,4174,13291,0.37894929604774164,0.2389922702547953,0.43944586483889103,110298,0.15834375963299424,-1.68046214082902,0.9514507097503637,SexGroup,Male,17465,110298,,external_temporal,default_0_50
0.35000000000000003,0.5787350262740638,0.7003828619780221,0.22306425567972885,0.8664224057629013,0.5343433181931428,0.3547870311506675,0.7802522238101325,0.17971512598022746,0.24706818154495067,55763,48595,2151,13952,0.46565668180685715,0.13357759423709867,0.5192302903014253,120461,0.1336781198894248,-1.7132966046668594,0.9170439023534761,SexGroup,Female,16103,120461,,external_temporal,recall_at_least_80
0.35000000000000003,0.5071261491595496,0.6662929263103705,0.22991450488961762,0.8992270254795305,0.43335882714121055,0.3661991535797978,0.762562779965461,0.20536696929981674,0.27031337757492846,40230,52603,1760,15705,0.5666411728587895,0.10077297452046952,0.6193040671635025,110298,0.15834375963299424,-1.68046214082902,0.9514507097503637,SexGroup,Male,17465,110298,,external_temporal,recall_at_least_80
